اولویت,عرض جغرافیایی,طول جغرافیایی,مساحت (هکتار),میانگین NDVI,میانگین دما (°C),تعداد سلول Grid
1,35.7338,51.19557,34.14,0.127,50.9,372
2,35.72262,51.20587,29.37,0.112,50.3,321
3,35.75112,51.22349,20.55,0.084,50.0,224
4,35.74088,51.22909,15.36,0.086,52.4,169
5,35.73059,51.22898,14.38,0.097,50.7,157
6,35.7288,51.21287,10.85,0.134,50.7,118
7,35.75808,51.2159,10.73,0.078,51.5,117
8,35.73772,51.22924,10.45,0.1,52.2,114
9,35.74947,51.19793,10.41,0.104,51.9,114
10,35.74414,51.1891,10.05,0.115,50.9,110
11,35.74758,51.19136,8.93,0.08,50.0,97
12,35.72952,51.2046,8.14,0.135,50.6,89
13,35.75371,51.20294,7.14,0.087,49.9,78
14,35.73962,51.20856,6.59,0.126,50.2,72
15,35.74323,51.22603,6.35,0.073,51.1,69
16,35.73394,51.21431,5.77,0.14,51.8,63
17,35.74377,51.19423,5.03,0.126,50.0,55
18,35.74237,51.23758,4.97,0.113,50.4,54
19,35.73001,51.21775,3.39,0.138,52.3,37
20,35.74118,51.20506,3.14,0.148,50.0,34
21,35.73579,51.20161,2.85,0.142,49.7,31
22,35.73698,51.21013,2.84,0.142,50.0,31
23,35.74019,51.20184,2.58,0.13,49.2,28
24,35.75197,51.19971,2.2,0.115,50.3,24
25,35.72742,51.20931,2.12,0.135,49.1,23
26,35.72864,51.20166,1.93,0.136,50.8,21
27,35.73895,51.18694,1.93,0.138,50.2,21
28,35.73298,51.19154,1.84,0.069,49.2,20
29,35.73925,51.23336,1.76,0.135,53.1,19
30,35.72904,51.22411,1.66,0.131,49.9,18
31,35.75856,51.20737,1.57,0.102,49.3,17
32,35.73806,51.22232,1.28,0.093,49.7,14
33,35.75319,51.22759,1.21,0.098,50.6,13
34,35.7249,51.21044,1.19,0.138,49.3,13
35,35.72508,51.19804,1.19,0.095,48.9,13
36,35.7288,51.22142,1.12,0.105,48.9,12
37,35.7442,51.20164,1.1,0.145,49.3,12
38,35.72832,51.19737,1.1,0.14,49.8,12
39,35.74551,51.22595,1.09,0.071,49.3,12
40,35.74366,51.18708,1.0,0.135,50.8,11
41,35.73643,51.21499,0.84,0.151,50.0,9
42,35.7381,51.23192,0.83,0.09,52.6,9
43,35.73076,51.20775,0.83,0.136,48.7,9
44,35.72657,51.19749,0.83,0.136,49.2,9
45,35.73502,51.22906,0.82,0.101,50.3,9
46,35.74041,51.18633,0.74,0.122,50.8,8
47,35.72828,51.21831,0.73,0.136,51.2,8
48,35.73843,51.2132,0.73,0.13,48.9,8
49,35.73922,51.2117,0.73,0.12,49.3,8
50,35.7325,51.20357,0.65,0.15,49.5,7
51,35.74008,51.19519,0.65,0.126,48.5,7
52,35.73799,51.21985,0.55,0.099,49.1,6
53,35.73927,51.23578,0.46,0.116,52.2,5
54,35.72748,51.20298,0.46,0.145,50.7,5
55,35.72998,51.19694,0.46,0.14,49.7,5
56,35.72576,51.19587,0.46,0.083,48.7,5
57,35.74468,51.2364,0.45,0.116,48.9,5
58,35.73144,51.19695,0.45,0.14,49.7,5
59,35.73853,51.19491,0.45,0.118,49.1,5
60,35.7424,51.22776,0.37,0.071,51.8,4
61,35.73187,51.21778,0.37,0.147,50.2,4
62,35.72613,51.21163,0.37,0.139,49.5,4
63,35.73358,51.20418,0.37,0.15,49.7,4
64,35.73244,51.20219,0.37,0.138,48.7,4
65,35.73732,51.19582,0.37,0.155,49.9,4
66,35.75471,51.22299,0.36,0.077,48.8,4
67,35.72188,51.20631,0.36,0.14,49.6,4
68,35.72594,51.203,0.36,0.153,50.0,4
69,35.74352,51.23086,0.28,0.12,49.7,3
70,35.74596,51.22467,0.28,0.053,49.5,3
71,35.72848,51.21965,0.28,0.149,50.3,3
72,35.75806,51.21929,0.28,0.081,50.9,3
73,35.73022,51.20893,0.28,0.149,48.8,3
74,35.75276,51.20534,0.28,0.06,49.9,3
75,35.72238,51.20448,0.28,0.124,50.0,3
76,35.7269,51.2004,0.28,0.159,49.6,3
77,35.74187,51.19326,0.28,0.106,49.1,3
78,35.74097,51.19337,0.28,0.11,49.1,3
79,35.74115,51.19226,0.28,0.109,48.9,3
80,35.75008,51.1904,0.28,0.053,49.9,3
81,35.74234,51.18673,0.28,0.145,49.0,3
82,35.72309,51.21212,0.27,0.161,49.1,3
83,35.74071,51.18529,0.27,0.14,51.1,3
84,35.74022,51.23589,0.19,0.077,51.7,2
85,35.74108,51.20868,0.19,0.105,48.7,2
86,35.75596,51.20839,0.19,0.056,48.7,2
87,35.72676,51.19902,0.19,0.156,50.1,2
88,35.74279,51.23291,0.18,0.077,50.5,2
89,35.74253,51.23158,0.18,0.13,50.5,2
90,35.73279,51.23089,0.18,0.101,49.3,2
91,35.74253,51.23058,0.18,0.104,50.2,2
92,35.74334,51.22793,0.18,0.053,51.4,2
93,35.73361,51.2279,0.18,0.103,50.8,2
94,35.72955,51.22789,0.18,0.072,49.5,2
95,35.72727,51.21644,0.18,0.151,52.8,2
96,35.73607,51.21464,0.18,0.147,50.8,2
97,35.72592,51.21412,0.18,0.148,50.5,2
98,35.72065,51.21062,0.18,0.122,49.1,2
99,35.75338,51.21037,0.18,0.056,48.8,2
100,35.72093,51.20962,0.18,0.132,49.4,2
101,35.7212,51.20863,0.18,0.12,49.1,2
102,35.75677,51.20856,0.18,0.067,49.3,2
103,35.72147,51.20764,0.18,0.123,49.1,2
104,35.73515,51.19589,0.18,0.127,50.8,2
105,35.73394,51.19009,0.18,0.068,48.6,2
106,35.74152,51.18645,0.18,0.137,49.7,2
107,35.73954,51.23771,0.09,0.127,51.3,1
108,35.74035,51.23738,0.09,0.059,50.8,1
109,35.73765,51.23737,0.09,0.065,50.4,1
110,35.74333,51.23407,0.09,0.054,48.4,1
111,35.73792,51.23405,0.09,0.145,49.4,1
112,35.74279,51.23374,0.09,0.055,50.0,1
113,35.73711,51.23272,0.09,0.134,49.1,1
114,35.73143,51.23204,0.09,0.136,48.6,1
115,35.73225,51.23138,0.09,0.146,48.5,1
116,35.73982,51.23074,0.09,0.1,52.7,1
117,35.73874,51.23074,0.09,0.09,53.5,1
118,35.73333,51.23072,0.09,0.145,48.6,1
119,35.73306,51.22973,0.09,0.098,50.4,1
120,35.74253,51.22909,0.09,0.125,51.0,1
121,35.73415,51.22874,0.09,0.059,50.7,1
122,35.73469,51.22675,0.09,0.132,49.8,1
123,35.74714,51.22479,0.09,0.082,49.7,1
